src,dst,time_s_2018,distance_km_2018,year,time_s_2025,distance_km_2025,delta_time_s,delta_distance_km,pct_time,pct_distance
1,48,269,3.313,2018,253,3.289,-16,-0.02400000000000002,-5.947955390334572,-0.7244189556293396
1,49,646,10.354,2018,599,10.347,-47,-0.006999999999999673,-7.275541795665634,-0.06760672203978824
1,50,380,4.9,2018,363,4.906,-17,0.005999999999999339,-4.473684210526316,0.12244897959182324
2,1,574,7.301,2018,528,7.3,-46,-0.001000000000000334,-8.013937282229964,-0.01369675386933754
2,2,0,0.0,2018,0,0.0,0,0.0,,
2,3,728,8.953,2018,733,11.118,5,2.165000000000001,0.6868131868131868,24.181838489891668
2,4,791,9.639,2018,717,9.617,-74,-0.021999999999998465,-9.355246523388116,-0.22823944392570253
2,5,522,5.971,2018,491,5.747,-31,-0.2240000000000002,-5.938697318007663,-3.7514654161781977
2,6,725,8.971,2018,616,8.553,-109,-0.41799999999999926,-15.03448275862069,-4.659458254375201
2,7,311,3.257,2018,285,3.416,-26,0.1589999999999998,-8.360128617363344,4.881793061099165
2,8,404,5.381,2018,391,5.376,-13,-0.004999999999999893,-3.217821782178218,-0.09291953168555832
2,9,744,9.98,2018,712,10.07,-32,0.08999999999999986,-4.301075268817205,0.9018036072144273
2,10,91,0.797,2018,99,0.797,8,0.0,8.791208791208792,0.0
2,11,633,8.09,2018,588,8.091,-45,0.0009999999999994458,-7.109004739336493,0.012360939431389936
2,12,579,6.913,2018,681,9.187,102,2.273999999999999,17.616580310880828,32.89454650658179
2,13,720,9.063,2018,682,9.116,-38,0.05299999999999905,-5.277777777777778,0.5847953216374163
2,14,106,0.875,2018,119,0.876,13,0.0010000000000000009,12.264150943396226,0.11428571428571438
2,15,477,5.924,2018,383,4.753,-94,-1.1710000000000003,-19.70649895178197,-19.767049291019585
2,16,137,1.268,2018,173,1.375,36,0.10699999999999998,26.277372262773724,8.438485804416402
2,17,509,5.796,2018,492,6.148,-17,0.3519999999999994,-3.3398821218074657,6.073153899240846
2,18,749,9.776,2018,751,9.025,2,-0.7509999999999994,0.26702269692923897,-7.6820785597381285
2,19,595,7.003,2018,500,7.007,-95,0.0039999999999995595,-15.966386554621847,0.0571183778380631
2,20,712,8.906,2018,602,8.097,-110,-0.809000000000001,-15.44943820224719,-9.083763754772075
2,21,697,8.063,2018,590,8.077,-107,0.013999999999999346,-15.351506456241031,0.173632642936864
2,22,438,5.174,2018,397,5.191,-41,0.01699999999999946,-9.360730593607306,0.3285659064553432
