grid_id,grid_lat,grid_lon,road_length_2018_m,road_length_2025_m,road_count_2018,road_count_2025,building_count_2018,building_count_2025,connectivity_2018,connectivity_2025,completeness_delta,has_new_infra,related_poc_ids
GRID-0405,10.8105,106.71615,11012.07,25485.93,54,257,34,699,5.1296,3.9455,0.5679,True,"['POC-001', 'POC-009']"
GRID-0406,10.8105,106.72545,9742.16,15199.94,66,145,21,146,3.8636,3.7655,0.3591,True,['POC-009']
GRID-0407,10.8105,106.73475,14409.29,15318.72,82,114,156,329,4.2805,3.9737,0.0594,True,['POC-009']
GRID-0408,10.8105,106.74405,1056.75,7274.8,10,44,18,40,4.5,4.7273,0.8547,True,['POC-009']
GRID-0409,10.8105,106.75335,10945.69,19115.94,44,146,0,20,6.3636,4.4384,0.4274,True,['POC-009']
GRID-0410,10.8105,106.76265,894.38,1435.48,2,5,0,3,7.0,9.2,0.3769,True,['POC-009']
GRID-0500,10.8195,106.66965,6901.53,13767.4,37,97,19,239,7.1351,5.9588,0.4987,False,
GRID-0501,10.8195,106.67895,14339.09,20363.02,68,201,5,157,5.5735,4.3483,0.2958,False,
GRID-0502,10.8195,106.68825,10616.13,20843.66,44,278,3,136,7.3636,4.8705,0.4907,False,
GRID-0503,10.8195,106.69755,6468.18,17740.21,16,224,6,107,7.5625,4.6875,0.6354,False,
GRID-0504,10.8195,106.70685,4367.02,14587.45,16,135,46,93,6.8125,4.7778,0.7006,False,
GRID-0505,10.8195,106.71615,6254.11,12387.78,22,100,39,172,6.4545,4.48,0.4951,True,['POC-009']
GRID-0506,10.8195,106.72545,7737.25,8841.2,37,76,23,90,4.5676,3.8553,0.1249,True,['POC-009']
GRID-0507,10.8195,106.73475,5572.41,8302.74,13,38,3,67,9.6923,7.4737,0.3288,True,['POC-009']
GRID-0508,10.8195,106.74405,4358.48,6295.22,4,38,0,0,10.0,4.6053,0.3077,True,['POC-009']
GRID-0509,10.8195,106.75335,1679.86,6868.78,5,47,1,1,7.8,4.0213,0.7554,True,['POC-009']
GRID-0510,10.8195,106.76265,1944.25,6356.59,8,44,1,1,5.125,4.1136,0.6941,True,['POC-009']
